customer_id,customer_name,city,signup_date,is_premium
1,Garrett Raymond,Lake Heather,2025-02-12,True
2,Linda Richard,Jenniferstad,2024-10-19,False
3,Zachary Brewer,Kennethchester,2024-12-28,True
4,Jennifer Evans,Warrenberg,2024-11-17,True
5,Cynthia Saunders,Justinview,2024-03-12,True
6,John Dawson,North Cheryltown,2023-11-11,False
7,Sarah Eaton,Barrettfort,2025-01-06,True
8,Christina Bruce,New Ronniechester,2025-03-15,True
9,Logan Fernandez,Port Johnland,2023-09-01,True
10,Jessica Malone,Port Lisatown,2024-05-24,False
11,Antonio Farmer,Maxwellland,2026-01-20,True
12,Mark Gonzalez,Stephanieburgh,2023-08-28,True
13,Michelle Maynard,New Kenneth,2024-09-14,True
14,Wayne Wood,Justinland,2023-09-30,True
15,Vincent Miller,North Michael,2024-02-04,False
16,Edward Griffin,North Gabrielafurt,2025-08-11,True
17,Randy Kent,East John,2026-01-09,False
18,Kevin Mason MD,Wellshaven,2024-10-06,False
19,Gabriel Reynolds,Masonside,2025-04-06,False
20,Harold Lopez,Davistown,2023-07-17,True
21,Bradley Diaz,Chungmouth,2023-02-19,False
22,Mrs. Alexandra Atkinson MD,Port Steventown,2024-01-24,True
23,Jennifer Lang,New Justin,2024-10-05,False
24,Brenda Jones,Moranborough,2023-04-07,False
25,Timothy Harrison,Summersside,2024-05-07,False
26,Kim Flores,Andreamouth,2025-10-17,False
27,Shawn White,West Susanchester,2025-08-14,False
28,Matthew Herman,Robinsonport,2024-06-08,False
29,Linda Decker,South Emma,2025-04-19,False
30,Catherine Avery,Webbbury,2025-03-29,False
31,Breanna Gutierrez,Lake Dennis,2024-10-15,True
32,Michael Davila,Brownfurt,2023-07-07,True
33,Anthony Leonard,Victoriaside,2023-09-25,False
34,Kyle Williams,Lake Christian,2025-04-12,False
35,Kyle Moreno,East Melissaberg,2024-08-29,False
36,Amy Moses,Harmonberg,2025-02-08,True
37,Anita Johnson,Coffeyfort,2025-02-03,False
38,Ashley Ochoa,North James,2024-06-03,True
39,Desiree Mcclure,Port Matthewport,2026-01-04,True
40,Jessica May,South Joannberg,2024-08-04,True
41,Kristi Rich,Port Heidifort,2026-01-08,True
42,Abigail Harrington,Carpentermouth,2025-03-06,True
43,Nicholas Mccarthy,West Jean,2023-08-02,False
44,Amber Maldonado,Tristanhaven,2023-09-24,False
45,Anthony Howard,Port Amandamouth,2025-01-02,False
46,Lauren Wilkinson,North Williamport,2023-06-21,False
47,Julia Acosta,North Katelynton,2023-03-23,False
48,Elizabeth Taylor,Teresahaven,2023-10-21,True
49,Miranda Brennan,East Courtney,2023-04-14,False
50,Jennifer Sanchez,Campbellfort,2024-02-06,False
51,Jennifer Hardy,New Sharonville,2025-08-03,True
52,Steven Lee,Robertsonchester,2023-08-31,False
53,Briana Wiggins,Ericborough,2026-01-04,True
54,Nicole Bauer,Port Matthewfurt,2025-07-08,False
55,Mrs. Kathleen Herman,Edwardside,2024-10-28,True
56,Robert Hatfield DVM,Williamsland,2025-02-07,False
57,Nicole Morgan,Boltonfort,2025-02-02,False
58,Tyler Wright,Garciaside,2025-06-12,True
59,James Pace,West Stacy,2024-12-12,True
60,Jacqueline Palmer,Port Tracyberg,2023-06-21,True
61,Chloe Fields,West Jenniferburgh,2023-07-11,True
62,Juan Ballard,North Amyview,2023-07-24,True
63,Stephanie Webb,North James,2024-04-12,True
64,Ernest Ramirez,Lake Anthony,2025-02-12,True
65,Laura Dudley,Reedhaven,2023-02-16,True
66,Scott Moore,New Williamton,2024-06-18,False
67,Daniel Wagner,Bennettside,2024-09-23,False
68,Zachary Anderson,South Caitlin,2024-07-15,True
69,Rebecca Johnson,Blairshire,2023-09-17,False
70,Mrs. Kristen Mitchell,North Heather,2023-02-20,False
71,Danielle Lindsey,Port Beverly,2023-10-18,False
72,Kelly Lowery,Andersonport,2025-06-21,False
73,Steven King,East Arianafurt,2023-04-05,True
74,Aaron Alexander,West Stephanie,2023-09-03,False
75,Cheryl Snyder,East Stephanie,2025-12-06,True
76,Stephanie Hays,Port Carlaland,2024-12-04,False
77,John Everett,South Steven,2024-04-02,False
78,Jeffrey Swanson,New Tylerville,2024-10-21,False
79,Michael Harmon,Daviesfort,2024-01-11,True
80,Emily Merritt,Jefferyhaven,2023-05-30,False
81,Mandy Brooks,Lake Patriciaton,2025-07-03,True
82,Taylor Bush,Leeland,2024-08-04,False
83,Bobby Freeman,Meaganbury,2026-01-21,True
84,Jeffrey Owen,Kristopherport,2025-05-07,False
85,Jonathan Brown,South Markstad,2025-04-28,True
86,Christine Hanson,Lake Deannatown,2025-03-21,True
87,Frederick Parker,Lake Kevinberg,2025-03-10,False
88,Chad Lin,East Tracyborough,2024-06-04,True
89,Heather Cross,West Brianview,2023-05-17,False
90,Jeremy Cabrera,Brandystad,2025-11-08,False
91,Edward Tate,New Angelberg,2024-07-27,False
92,Jennifer Francis,West Dana,2025-09-07,False
93,David Flores,South Teresafurt,2023-12-10,False
94,Krista Hernandez,Hammondborough,2025-07-27,False
95,Timothy Williams,South Aaron,2024-08-02,False
96,Hector Carter,Kellerbury,2023-11-09,False
97,Dorothy Figueroa,East Dean,2024-07-24,False
98,Mark Sullivan,West Mary,2024-07-05,False
99,Charles Hughes,West Steventown,2023-07-10,False
100,Laura Mcdonald,New Kevin,2023-04-04,True
101,Tiffany Sullivan,North Emmaville,2025-06-29,True
102,Steven Kidd,Elizabethbury,2024-10-10,False
103,Allison Hill,New Candice,2024-08-05,False
104,Angela Davis,Matthewborough,2024-05-30,False
105,Eddie Dillon,Lake Gregory,2024-12-15,False
106,Holly Martinez,Kellybury,2023-08-17,False
107,William Wood DVM,Port Shelbymouth,2023-12-28,False
108,Kyle Edwards,New Anthonyton,2024-05-24,False
109,Sheila Johnson,New Patrick,2025-12-28,False
110,Kathleen Curtis,East Linda,2023-05-15,True
111,Dylan Mills,East Jeffery,2024-03-27,False
112,Joshua Myers,East Erin,2023-08-25,True
113,Roy Lopez,New Christopherview,2024-08-01,False
114,Kathryn Hodge,Youngberg,2025-01-21,False
115,Andrea George,Jenningsberg,2025-06-05,True
116,Jamie Jones,West Monica,2024-09-28,False
117,Christian Sharp,Harrisontown,2024-09-27,True
118,Garrett Allen,Santiagoville,2025-09-15,False
119,Kyle Hernandez,South James,2025-10-12,False
120,Claudia Davis,Onealmouth,2024-09-20,True
121,Meghan Gilmore,Danielberg,2023-12-26,False
122,Jerry Martinez,New Regina,2025-01-06,True
123,Trevor Nguyen,Jamesshire,2023-06-12,False
124,Cynthia Dunlap,South Chloehaven,2024-12-14,True
125,Brianna Hamilton,Port Ashley,2023-05-13,True
126,Bruce Stewart,New Cassandra,2024-04-25,False
127,Diane Gonzales,Jenniferstad,2023-08-31,False
128,Jeremy Lewis,North Lisatown,2023-03-31,True
129,Carolyn Chen,Port Brandi,2024-01-09,False
130,Curtis Brown,Timothybury,2025-06-05,False
131,Gwendolyn Gomez,New Scottshire,2023-01-27,False
132,Matthew Torres,Nobleshire,2024-04-12,True
133,Joseph Jones,North Michael,2024-08-09,True
134,Matthew Cox,Alexisburgh,2025-05-10,True
135,Eric Ware,Shannonhaven,2025-08-31,True
136,Theresa Webb,Port Richard,2023-05-15,True
137,Margaret Fox,Lisahaven,2023-02-01,True
138,Daniel Mcgrath,South Dennisville,2024-09-17,True
139,Jasmine Payne,Justinfurt,2024-04-24,True
140,Courtney Bond,West Andrewview,2024-01-01,True
141,Amber Smith,Mcdonaldmouth,2024-01-31,False
142,Joseph Phillips,Montoyaside,2025-11-22,True
143,Debbie Christian,Port Laurenside,2024-10-01,False
144,Karen Lewis,Clarkton,2023-05-03,False
145,Steven Hart,South Stephen,2023-05-01,False
146,Austin Banks,Melanieborough,2023-08-04,True
147,Joseph Gutierrez,Port Eric,2024-02-29,True
148,Timothy Porter,Richardsonshire,2024-05-05,True
149,David Olsen,West Autumn,2025-08-20,True
150,David Davis,Melvinburgh,2024-09-13,False
151,Natasha Barr,East Darrellville,2025-06-09,True
152,Terri Wood,Lake Sophia,2024-03-25,True
153,Robert Lindsey,Jessehaven,2024-02-11,True
154,Michael Hopkins,Jessicamouth,2024-12-19,True
155,April Escobar,New Johnmouth,2025-08-20,True
156,Dana Diaz,North Melanie,2024-03-06,False
157,Kevin Martinez,South Charlesstad,2024-04-14,True
158,Marvin Bond,North Nathanhaven,2024-07-31,False
159,Ashley Davis,Lake Robert,2023-12-10,True
160,Matthew Scott,Port Seth,2024-10-16,False
161,Patrick Johnson,North Bobbystad,2024-01-31,True
162,Justin Howard,Dannyborough,2025-03-18,True
163,Katherine Frye,Jenniferfort,2026-01-19,False
164,Rachel Gaines,Gregoryberg,2023-07-21,False
165,Patrick Anderson,Ryanhaven,2023-06-24,False
166,Clayton Walker,Port Michael,2024-06-10,True
167,Matthew Taylor,Port David,2024-07-17,False
168,Tonya Suarez,New Scott,2024-03-23,True
169,Kathryn Adams,East Adam,2025-05-08,True
170,Pamela Mendez,Port Samantha,2024-12-16,False
171,Jennifer Moore,South Christophermouth,2023-02-10,False
172,Wanda Jones,Josephburgh,2024-05-11,True
173,Laurie Jones,Aguilarburgh,2023-05-09,True
174,Marie Marshall,Marshallfort,2025-02-06,False
175,Carmen Henson,Wilsonshire,2023-10-30,False
176,Mark Stephens,Kathychester,2024-06-02,False
177,John Anderson,Wilsonton,2024-12-11,True
178,Michael Chen,Nancyton,2025-11-16,True
