delivery_partner_id,partner_name,rating
1,Debra Smith,3.7
2,Scott Barnes,3.5
3,Jason Cooley,4.9
4,Ashley Clark,3.6
5,Derek King,4.0
6,David Smith,3.8
7,Kayla Williams,4.6
8,Matthew White,4.6
9,Matthew Brown,4.7
10,Michael Moore,4.4
11,James Mueller,4.4
12,Cassidy Dominguez,4.1
13,Deanna Campos,4.5
14,Brittany Cantu,3.7
15,Tiffany Lamb,4.5
16,Jonathan Webb,3.7
17,Nathan Henderson,4.8
18,Steven Lee,4.3
19,Adam Allen,4.3
20,Robert Powell,4.4
21,Jennifer Garner,4.7
22,Jessica Davis,4.2
23,Karen Phillips,4.1
24,Janet Green,3.9
25,Yolanda Burch,3.7
26,Karen Welch,3.8
27,Matthew Jackson,3.5
28,Donald Johnson,4.8
29,Ashlee Frank,4.6
30,Cynthia Cannon,3.8
31,Dawn Neal,3.5
32,Jeff Townsend,4.2
33,Jeremy Padilla,4.1
34,Matthew Cummings,4.7
35,Aaron Spears,4.1
36,Sara Murphy,4.8
37,Nicholas Clark,3.6
38,Kathryn Jackson,4.0
39,Jamie Sanchez,4.9
40,Bryce King,3.5
41,Daniel Klein,4.1
42,Jonathan Burton,3.9
43,Vincent Reyes,4.3
44,Mark Vaughn,3.9
45,Robert Turner,4.8
46,Jill Howard,4.9
47,Randy Callahan,4.8
48,David Hanson,4.1
49,Robert Everett,5.0
50,Erica Ford,4.6
51,Michael Miller,4.0
52,Debbie Howard,3.6
53,Brett Valdez,4.5
54,James Mills,4.6
55,Daniel George,3.7
56,Aimee Williams,4.3
57,George Roberts,5.0
58,Clinton Norton,4.0
59,Kathryn Simpson,4.0
60,Annette Stewart,4.9
61,Maria Coleman,3.7
62,Gloria Rivers,4.9
63,Eric Warren,4.7
64,Jason Obrien,4.1
65,Bryan Johnson,3.6
66,Carol Murphy,3.5
67,Bridget Cherry,4.1
68,Peggy Pace,4.6
69,Jeffrey Meyer,4.2
70,Christopher Wall,4.6
71,Clayton Grimes,4.5
72,Raymond Mason,4.4
73,Kevin Ferguson,5.0
74,Robert Harris,4.6
75,Dennis Goodman,4.9
76,Nancy Hernandez,3.9
77,Terry Ali,4.6
78,Lori Schroeder,4.4
79,Michelle Harmon,4.9
80,Dr. Regina Maxwell,4.3
81,Dr. Patricia Richardson,3.9
82,Angel Nichols,4.1
83,Monica Gibson,3.8
84,Brittany Peterson,3.8
85,Victoria Taylor,4.2
86,William Harris,4.8
87,Heather Edwards,3.8
88,Robert Davis,3.9
89,Courtney Bray,4.8
90,Dean Wilson,4.0
91,Mary Wyatt,4.9
92,Reginald Moreno,3.9
93,Robert Rodriguez,4.2
94,Douglas Brown,3.6
95,Julie Myers,5.0
96,Keith Saunders,4.8
97,Jessica Carter,4.7
98,Kevin Nichols,3.7
99,Richard Howe,5.0
100,Leslie Meyer,4.9
101,Daniel Jefferson,4.2
102,Tiffany Castro,4.5
103,Nathan Gregory,5.0
104,Kathy Garza,4.1
105,Katherine Rocha,3.7
106,Sara Carter,4.8
107,Michael Andersen,4.2
108,Robert Velez,5.0
